date,station,tree_total,tree_level,top_tree_species,weed_total,weed_level,top_weed_species,grass_total,grass_level,top_grass_species,mold_total,mold_level,top_mold_species,weather_notes
2021-06-22,Allergy Clinic,21.0,Medium,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Alder",4.0,Low,All identified weed pollen not counted elsewhere,65.0,High,"Grass Family, all types",0.0,Low,,
2021-06-23,Allergy Clinic,9.0,Low,"Willow; Walnut, Butternut; Juniper family, Cedar",2.0,Low,All identified weed pollen not counted elsewhere,46.0,High,"Grass Family, all types",0.0,Low,,
2021-06-24,Allergy Clinic,12.0,Low,"Walnut, Butternut; Juniper family, Cedar; Elm",6.0,Low,All identified weed pollen not counted elsewhere,26.0,High,"Grass Family, all types",0.0,Low,,
2021-06-29,Allergy Clinic,3.0,Low,"Pine Family with air bladders; Juniper family, Cedar",2.0,Low,All identified weed pollen not counted elsewhere,10.0,Medium,"Grass Family, all types",0.0,Low,,
2021-06-30,Allergy Clinic,34.0,Medium,"Pine Family with air bladders; Juniper family, Cedar; Willow",28.0,Medium,"All identified weed pollen not counted elsewhere; Sheep Sorrel, Dock; Plantain",35.0,High,"Grass Family, all types",0.0,Low,,
2021-07-01,Allergy Clinic,6.0,Low,"Juniper family, Cedar; Pine Family with air bladders",7.0,Low,"Plantain; All identified weed pollen not counted elsewhere; Aster, Cocklebur, etc.",1.0,Low,"Grass Family, all types",0.0,Low,,
2021-07-13,Allergy Clinic,0.0,Low,,6.0,Low,"All identified weed pollen not counted elsewhere; Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle",3.0,Low,"Grass Family, all types",0.0,Low,,
2021-07-14,Allergy Clinic,3.0,Low,"Poplar, Cottonwood, Aspen; Pine Family with air bladders",9.0,Low,"All identified weed pollen not counted elsewhere; Sage, Wormwood",3.0,Low,"Grass Family, all types",0.0,Low,,
2021-07-15,Allergy Clinic,2.0,Low,Pine Family with air bladders; Alder,7.0,Low,"All identified weed pollen not counted elsewhere; Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle",2.0,Low,"Grass Family, all types",0.0,Low,,
2021-07-19,Allergy Clinic,0.0,Low,,2.0,Low,"Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle; All identified weed pollen not counted elsewhere",1.0,Low,"Grass Family, all types",0.0,Low,,
2021-07-20,Allergy Clinic,1.0,Low,"Juniper family, Cedar",6.0,Low,All identified weed pollen not counted elsewhere,1.0,Low,"Grass Family, all types",0.0,Low,,
2021-07-23,Allergy Clinic,0.0,Low,,4.0,Low,All identified weed pollen not counted elsewhere,0.0,Low,,0.0,Low,,
2021-07-27,Allergy Clinic,0.0,Low,,5.0,Low,"All identified weed pollen not counted elsewhere; Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle",1.0,Low,"Grass Family, all types",0.0,Low,,
2021-07-28,Allergy Clinic,3.0,Low,"Poplar, Cottonwood, Aspen",3.0,Low,"Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle",3.0,Low,"Grass Family, all types",0.0,Low,,
2022-01-21,Allergy Clinic,95.0,High,"Birch; Poplar, Cottonwood, Aspen; Alder",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-01,Allergy Clinic,5.0,Low,"Birch; Poplar, Cottonwood, Aspen; Maple, Box elder",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-02,Allergy Clinic,1.0,Low,Birch,0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-06,Allergy Clinic,18.0,Medium,"Poplar, Cottonwood, Aspen; Juniper family, Cedar; Hazelnut",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-07,Allergy Clinic,4.0,Low,"Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-09,Allergy Clinic,9.0,Low,"Juniper family, Cedar; Poplar, Cottonwood, Aspen; Birch",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-14,Allergy Clinic,31.0,Medium,"Juniper family, Cedar; Elm; Willow",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-15,Allergy Clinic,9.0,Low,"Juniper family, Cedar; Walnut, Butternut; Willow",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-16,Allergy Clinic,35.0,Medium,"Juniper family, Cedar; Walnut, Butternut; Hickory, Pecan",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-21,Allergy Clinic,24.0,Medium,"Juniper family, Cedar; Ash; All identified tree pollen not counted elsewhere",0.0,Low,,0.0,Low,,0.0,Low,,
2022-02-22,Allergy Clinic,25.0,Medium,"Juniper family, Cedar; Birch; Willow",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-01,Allergy Clinic,53.0,Medium,"Juniper family, Cedar; Poplar, Cottonwood, Aspen; Ash",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-02,Allergy Clinic,15.0,Medium,"Juniper family, Cedar; All identified tree pollen not counted elsewhere",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-03,Allergy Clinic,19.0,Medium,"Juniper family, Cedar; Ash; Willow",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-07,Allergy Clinic,322.0,High,"Juniper family, Cedar; Alder; All identified tree pollen not counted elsewhere",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-11,Allergy Clinic,0.0,Low,,0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-12,Allergy Clinic,233.0,High,"Juniper family, Cedar; Alder; Elm",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-14,Allergy Clinic,137.0,High,"Juniper family, Cedar; Elm; Alder",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-15,Allergy Clinic,121.0,High,"Juniper family, Cedar; Elm; Alder",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-16,Allergy Clinic,175.0,High,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Alder",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-21,Allergy Clinic,195.0,High,"All identified tree pollen not counted elsewhere; Juniper family, Cedar; Elm",0.0,Low,,0.0,Low,,0.0,Low,,rainy
2022-03-22,Allergy Clinic,198.0,High,"All identified tree pollen not counted elsewhere; Juniper family, Cedar; Elm",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-23,Allergy Clinic,250.0,High,"Juniper family, Cedar; Elm; Poplar, Cottonwood, Aspen",0.0,Low,,0.0,Low,,0.0,Low,,
2022-03-28,Allergy Clinic,103.0,High,Alder; Birch; All identified tree pollen not counted elsewhere,0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-03-30,Allergy Clinic,58.0,Medium,Birch; Hemlock; All identified tree pollen not counted elsewhere,0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,
2022-04-01,Allergy Clinic,242.0,High,"Birch; Elm; Juniper family, Cedar",0.0,Low,,4.0,Low,"Grass Family, all types",0.0,Low,,
2022-04-05,Allergy Clinic,69.0,Medium,Hemlock; Birch; All identified tree pollen not counted elsewhere,0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-04-06,Allergy Clinic,41.0,Medium,All identified tree pollen not counted elsewhere; Hemlock; Birch,0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-04-07,Allergy Clinic,156.0,High,Birch; Willow; All identified tree pollen not counted elsewhere,0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-04-11,Allergy Clinic,25.0,Medium,"Poplar, Cottonwood, Aspen; Ash; Willow",0.0,Low,,2.0,Low,"Grass Family, all types",0.0,Low,,"significant snow, then turned sunny and warm"
2022-04-12,Allergy Clinic,22.0,Medium,"Poplar, Cottonwood, Aspen; Ash; Sycamore, Plane-tree",0.0,Low,,2.0,Low,"Grass Family, all types",0.0,Low,,intermittent rain & hail
2022-04-13,Allergy Clinic,34.0,Medium,"Poplar, Cottonwood, Aspen; Juniper family, Cedar; Ash",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,"hail, rain, cold"
2022-04-17,Allergy Clinic,36.0,Medium,"Poplar, Cottonwood, Aspen; All identified tree pollen not counted elsewhere; Elm",0.0,Low,,0.0,Low,,0.0,Low,,
2022-04-18,Allergy Clinic,67.0,Medium,Elm; All identified tree pollen not counted elsewhere; Willow,0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,
2022-04-20,Allergy Clinic,36.0,Medium,"Poplar, Cottonwood, Aspen; All identified tree pollen not counted elsewhere; Elm",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-04-22,Allergy Clinic,0.0,Low,,0.0,Low,,0.0,Low,,0.0,Low,,
2022-04-25,Allergy Clinic,47.0,Medium,"Poplar, Cottonwood, Aspen; Maple, Box elder; Ash",0.0,Low,,0.0,Low,,0.0,Low,,Intermittent rain
2022-04-26,Allergy Clinic,45.0,Medium,"Ash; All identified tree pollen not counted elsewhere; Hickory, Pecan",0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,mostly clear
2022-04-27,Allergy Clinic,48.0,Medium,"Ash; Maple, Box elder; Poplar, Cottonwood, Aspen",0.0,Low,,0.0,Low,,0.0,Low,,
2022-05-02,Allergy Clinic,27.0,Medium,"All identified tree pollen not counted elsewhere; Oak; Maple, Box elder",0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,
2022-05-03,Allergy Clinic,7.0,Low,"Pine Family with air bladders; Maple, Box elder; Willow",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-05-04,Allergy Clinic,44.0,Medium,Willow; All identified tree pollen not counted elsewhere; Ash,0.0,Low,,0.0,Low,,0.0,Low,,
2022-05-08,Allergy Clinic,8.0,Low,"Ash; Pine Family with air bladders; Maple, Box elder",0.0,Low,,0.0,Low,,0.0,Low,,"intermittent rain, brief hail"
2022-05-09,Allergy Clinic,9.0,Low,Pine Family with air bladders; All identified tree pollen not counted elsewhere; Mulberry,0.0,Low,,0.0,Low,,0.0,Low,,"rainy, cloudy"
2022-05-11,Allergy Clinic,47.0,Medium,"Pine Family with air bladders; Maple, Box elder; Hickory, Pecan",0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,sunny & warm
2022-05-15,Allergy Clinic,10.0,Low,"Willow; Maple, Box elder; All identified tree pollen not counted elsewhere",0.0,Low,,2.0,Low,"Grass Family, all types",0.0,Low,,
2022-05-16,Allergy Clinic,56.0,Medium,"Pine Family with air bladders; All identified tree pollen not counted elsewhere; Walnut, Butternut",0.0,Low,,5.0,Medium,"Grass Family, all types",0.0,Low,,
2022-05-17,Allergy Clinic,28.0,Medium,Pine Family with air bladders; Willow; Ash,0.0,Low,,4.0,Low,"Grass Family, all types",0.0,Low,,
2022-05-25,Allergy Clinic,35.0,Medium,Pine Family with air bladders; All identified tree pollen not counted elsewhere; Elm,0.0,Low,,8.0,Medium,"Grass Family, all types",0.0,Low,,
2022-06-01,Allergy Clinic,34.0,Medium,"All identified tree pollen not counted elsewhere; Pine Family with air bladders; Juniper family, Cedar",0.0,Low,,18.0,Medium,"Grass Family, all types",0.0,Low,,
2022-06-02,Allergy Clinic,33.0,Medium,"All identified tree pollen not counted elsewhere; Pine Family with air bladders; Juniper family, Cedar",0.0,Low,,19.0,Medium,"Grass Family, all types",0.0,Low,,
2022-06-03,Allergy Clinic,34.0,Medium,"Juniper family, Cedar; Willow; Pine Family with air bladders",0.0,Low,,24.0,High,"Grass Family, all types",0.0,Low,,
2022-06-05,Allergy Clinic,17.0,Medium,"Poplar, Cottonwood, Aspen; All identified tree pollen not counted elsewhere; Pine Family with air bladders",0.0,Low,,7.0,Medium,"Grass Family, all types",0.0,Low,,
2022-06-06,Allergy Clinic,17.0,Medium,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Walnut, Butternut",0.0,Low,,12.0,Medium,"Grass Family, all types",0.0,Low,,
2022-06-07,Allergy Clinic,43.0,Medium,"Juniper family, Cedar; Hickory, Pecan; Ash",1.0,Low,Plantain,46.0,High,"Grass Family, all types",0.0,Low,,
2022-06-14,Allergy Clinic,11.0,Low,"All identified tree pollen not counted elsewhere; Juniper family, Cedar; Elm",0.0,Low,,15.0,Medium,"Grass Family, all types",0.0,Low,,
2022-06-15,Allergy Clinic,26.0,Medium,"All identified tree pollen not counted elsewhere; Ash; Juniper family, Cedar",9.0,Low,All identified weed pollen not counted elsewhere,48.0,High,"Grass Family, all types",0.0,Low,,
2022-06-16,Allergy Clinic,43.0,Medium,"All identified tree pollen not counted elsewhere; Juniper family, Cedar; Willow",9.0,Low,All identified weed pollen not counted elsewhere,56.0,High,"Grass Family, all types",0.0,Low,,
2022-06-21,Allergy Clinic,11.0,Low,"All identified tree pollen not counted elsewhere; Ash; Hickory, Pecan",2.0,Low,"Nettle family, Pellitory",37.0,High,"Grass Family, all types",0.0,Low,,
2022-06-22,Allergy Clinic,11.0,Low,"All identified tree pollen not counted elsewhere; Juniper family, Cedar; Ash",22.0,Medium,"Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle; Sheep Sorrel, Dock; Plantain",64.0,High,"Grass Family, all types",0.0,Low,,
2022-06-23,Allergy Clinic,6.0,Low,Willow; Ash; Oak,15.0,Medium,All identified weed pollen not counted elsewhere,30.0,High,"Grass Family, all types",0.0,Low,,
2022-06-28,Allergy Clinic,0.0,Low,,28.0,Medium,All identified weed pollen not counted elsewhere,67.0,High,"Grass Family, all types",0.0,Low,,
2022-06-29,Allergy Clinic,0.0,Low,,21.0,Medium,All identified weed pollen not counted elsewhere,6.0,Medium,"Grass Family, all types",0.0,Low,,
2022-06-30,Allergy Clinic,9.0,Low,"Juniper family, Cedar",2.0,Low,All identified weed pollen not counted elsewhere,58.0,High,"Grass Family, all types",0.0,Low,,
2022-07-06,Allergy Clinic,2.0,Low,Alder,3.0,Low,"Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle; Plantain",5.0,Medium,"Grass Family, all types",0.0,Low,,
2022-07-07,Allergy Clinic,2.0,Low,"Juniper family, Cedar",8.0,Low,All identified weed pollen not counted elsewhere,7.0,Medium,"Grass Family, all types",0.0,Low,,
2022-07-11,Allergy Clinic,15.0,Medium,"Juniper family, Cedar; Pine Family with air bladders; Willow",19.0,Medium,All identified weed pollen not counted elsewhere; Plantain,44.0,High,"Grass Family, all types",0.0,Low,,
2022-07-15,Allergy Clinic,8.0,Low,"Juniper family, Cedar; Willow; Pine Family with air bladders",17.0,Medium,All identified weed pollen not counted elsewhere; Plantain,40.0,High,"Grass Family, all types",0.0,Low,,
2022-07-18,Allergy Clinic,18.0,Medium,"Willow; Juniper family, Cedar; All identified tree pollen not counted elsewhere",3.0,Low,"Aster, Cocklebur, etc.",26.0,High,"Grass Family, all types",0.0,Low,,
2022-07-19,Allergy Clinic,6.0,Low,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Hickory, Pecan",12.0,Medium,"All identified weed pollen not counted elsewhere; Sheep Sorrel, Dock; Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle",15.0,Medium,"Grass Family, all types",0.0,Low,,
2022-07-25,Allergy Clinic,6.0,Low,"Juniper family, Cedar; Pine Family with air bladders; All identified tree pollen not counted elsewhere",4.0,Low,All identified weed pollen not counted elsewhere; Plantain,3.0,Low,"Grass Family, all types",0.0,Low,,
2022-07-26,Allergy Clinic,9.0,Low,"Juniper family, Cedar; All identified tree pollen not counted elsewhere",10.0,Medium,All identified weed pollen not counted elsewhere,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-08-01,Allergy Clinic,15.0,Medium,"Juniper family, Cedar",14.0,Medium,All identified weed pollen not counted elsewhere,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-08-02,Allergy Clinic,3.0,Low,"Juniper family, Cedar",4.0,Low,All identified weed pollen not counted elsewhere,1.0,Low,"Grass Family, all types",0.0,Low,,
2022-08-03,Allergy Clinic,3.0,Low,"Juniper family, Cedar",3.0,Low,All identified weed pollen not counted elsewhere,3.0,Low,"Grass Family, all types",0.0,Low,,
2022-08-08,Allergy Clinic,20.0,Medium,"Juniper family, Cedar; Hemlock; Pine Family with air bladders",14.0,Medium,"Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle; All identified weed pollen not counted elsewhere; Sheep Sorrel, Dock",8.0,Medium,"Grass Family, all types",0.0,Low,,
2022-08-09,Allergy Clinic,11.0,Low,"Juniper family, Cedar; Hemlock",13.0,Medium,"Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle; Aster, Cocklebur, etc.; Nettle family, Pellitory",4.0,Low,"Grass Family, all types",0.0,Low,,
2022-08-10,Allergy Clinic,3.0,Low,"Juniper family, Cedar; Hornbeam/Hop hornbeam; Hemlock",27.0,Medium,"Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle; Aster, Cocklebur, etc.; Sheep Sorrel, Dock",3.0,Low,"Grass Family, all types",0.0,Low,,
2022-08-15,Allergy Clinic,6.0,Low,"Juniper family, Cedar",4.0,Low,"All identified weed pollen not counted elsewhere; Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle",0.0,Low,,0.0,Low,,
2022-08-16,Allergy Clinic,4.0,Low,"Juniper family, Cedar",4.0,Low,"All identified weed pollen not counted elsewhere; Goosefoot, Lamb's Quarters, Pigweed, Amaranth, Saltbush, Russian Thistle; Aster, Cocklebur, etc.",0.0,Low,,0.0,Low,,
2022-08-23,Allergy Clinic,4.0,Low,"Juniper family, Cedar",3.0,Low,All identified weed pollen not counted elsewhere,1.0,Low,"Grass Family, all types",0.0,Low,,
2023-01-12,Allergy Clinic,3.0,Low,"All identified tree pollen not counted elsewhere; Juniper family, Cedar",0.0,Low,,0.0,Low,,0.0,Low,,
2023-01-17,Allergy Clinic,22.0,Medium,"Birch; Juniper family, Cedar; Hazelnut",0.0,Low,,0.0,Low,,0.0,Low,,
2023-01-24,Allergy Clinic,5.0,Low,Ash; Hazelnut; All identified tree pollen not counted elsewhere,0.0,Low,,0.0,Low,,0.0,Low,,
2023-01-30,Allergy Clinic,7.0,Low,"Birch; Poplar, Cottonwood, Aspen; Pine Family with air bladders",0.0,Low,,0.0,Low,,0.0,Low,,Cold but clear
2023-02-06,Allergy Clinic,92.0,High,Birch; All identified tree pollen not counted elsewhere; Willow,0.0,Low,,0.0,Low,,0.0,Low,,
2023-02-07,Allergy Clinic,9.0,Low,"Birch; Juniper family, Cedar; Elm",0.0,Low,,0.0,Low,,0.0,Low,,
2023-02-13,Allergy Clinic,1.0,Low,Birch,0.0,Low,,0.0,Low,,0.0,Low,,
2023-02-14,Allergy Clinic,0.0,Low,,0.0,Low,,0.0,Low,,0.0,Low,,
2023-02-20,Allergy Clinic,30.0,Medium,"Juniper family, Cedar; Birch; All identified tree pollen not counted elsewhere",0.0,Low,,0.0,Low,,0.0,Low,,
2023-02-21,Allergy Clinic,4.0,Low,"Juniper family, Cedar; Hickory, Pecan",0.0,Low,,0.0,Low,,0.0,Low,,
2023-03-01,Allergy Clinic,40.0,Medium,"Juniper family, Cedar; Birch; Hazelnut",0.0,Low,,0.0,Low,,0.0,Low,,
2023-03-06,Allergy Clinic,16.0,Medium,"Birch; Juniper family, Cedar; Willow",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2023-03-07,Allergy Clinic,10.0,Low,"Juniper family, Cedar; All identified tree pollen not counted elsewhere",0.0,Low,,0.0,Low,,0.0,Low,,
2023-03-14,Allergy Clinic,150.0,High,"Juniper family, Cedar; Birch; Poplar, Cottonwood, Aspen",0.0,Low,,2.0,Low,"Grass Family, all types",0.0,Low,,
2023-03-15,Allergy Clinic,54.0,Medium,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Poplar, Cottonwood, Aspen",0.0,Low,,0.0,Low,,0.0,Low,,
2023-03-20,Allergy Clinic,45.0,Medium,"Juniper family, Cedar; Elm; Ash",0.0,Low,,4.0,Low,"Grass Family, all types",0.0,Low,,
2023-03-21,Allergy Clinic,47.0,Medium,"Alder; Juniper family, Cedar; Ash",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2023-03-27,Allergy Clinic,26.0,Medium,Elm; All identified tree pollen not counted elsewhere; Willow,0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,
2023-03-29,Allergy Clinic,68.0,Medium,"Ash; Elm; Juniper family, Cedar",0.0,Low,,4.0,Low,"Grass Family, all types",0.0,Low,,
2023-03-30,Allergy Clinic,60.0,Medium,Ash; Elm; Alder,0.0,Low,,4.0,Low,"Grass Family, all types",0.0,Low,,
2023-04-06,Allergy Clinic,9.0,Low,"All identified tree pollen not counted elsewhere; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Low,,0.0,Low,,0.0,Low,,
2023-04-10,Allergy Clinic,2.0,Low,"Juniper family, Cedar; Elm",0.0,Low,,0.0,Low,,0.0,Low,,
2023-04-11,Allergy Clinic,12.0,Low,"Juniper family, Cedar; All identified tree pollen not counted elsewhere",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2023-04-12,Allergy Clinic,126.0,High,Ash; Elm; Alder,0.0,Low,,0.0,Low,,0.0,Low,,Sunny and warm
2023-04-17,Allergy Clinic,7.0,Low,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Birch",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2023-04-18,Allergy Clinic,3.0,Low,"Juniper family, Cedar; Elm; All identified tree pollen not counted elsewhere",0.0,Low,,0.0,Low,,0.0,Low,,
2023-04-19,Allergy Clinic,5.0,Low,"Juniper family, Cedar; Hornbeam/Hop hornbeam; Elm",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2023-05-10,Allergy Clinic,79.0,Medium,"Willow; Ash; Maple, Box elder",6.0,Low,"Nettle family, Pellitory",9.0,Medium,"Grass Family, all types",0.0,Low,,
2023-05-11,Allergy Clinic,15.0,Medium,"All identified tree pollen not counted elsewhere; Ash; Juniper family, Cedar",0.0,Low,,5.0,Medium,"Grass Family, all types",0.0,Low,,
2023-05-30,Allergy Clinic,7.0,Low,All identified tree pollen not counted elsewhere; Elm; Ash,0.0,Low,,7.0,Medium,"Grass Family, all types",0.0,Low,,
2023-05-31,Allergy Clinic,17.0,Medium,All identified tree pollen not counted elsewhere; Pine Family with air bladders; Willow,0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,
2023-06-04,Allergy Clinic,9.0,Low,Pine Family with air bladders; Ash; Elm,0.0,Low,,33.0,High,"Grass Family, all types",0.0,Low,,
2023-06-06,Allergy Clinic,11.0,Low,"Juniper family, Cedar; Willow; Pine Family with air bladders",4.0,Low,All identified weed pollen not counted elsewhere,60.0,High,"Grass Family, all types",0.0,Low,,
2023-06-07,Allergy Clinic,14.0,Low,"Willow; Pine Family with air bladders; Juniper family, Cedar",1.0,Low,All identified weed pollen not counted elsewhere,60.0,High,"Grass Family, all types",0.0,Low,,
